transType,target,type,category
CR,"Interest Deposit",EQUALS,"Account interest"
CR,"Mobile Deposit",CONTAINS,"Deposit from mobile"
CR,"PAYROLL",CONTAINS,"Salary"
CR,"Deposit",EQUALS,"In-person deposit"
DR,"Eversource",CONTAINS,"Utilities"
DR,"Campus Crusade",CONTAINS,"Charity"
DR,"LIBERTY MUTUAL",CONTAINS,"Loan payments"
DR,"FEDLOANSERVICING",CONTAINS,"Loan payments"
DR,"LEASES",CONTAINS,"Car payments"
